,PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,EFF_PER_GAME
39,1627750,40,Jamal Murray,1610612743,DEN,65,2362,520,1093,0.476,154,389,0.396,211,238,0.887,43,206,249,393,91,33,133,125,1405,1438,2.96,0.68,22.123076923076923
40,1641708,41,Amen Thompson,1610612745,HOU,68,2199,382,688,0.555,25,90,0.278,166,243,0.683,190,368,558,259,96,88,137,164,955,1436,1.89,0.7,21.11764705882353
41,1630217,42,Desmond Bane,1610612763,MEM,66,2107,467,970,0.481,152,395,0.385,170,191,0.89,61,340,401,356,78,27,162,157,1256,1432,2.2,0.48,21.696969696969695
42,1631128,43,Christian Braun,1610612743,DEN,76,2574,458,793,0.578,86,216,0.398,168,204,0.824,97,300,397,192,84,36,80,163,1170,1428,2.4,1.05,18.789473684210527
43,1628368,44,De'Aaron Fox,1610612759,SAS,62,2241,539,1163,0.463,118,381,0.31,263,318,0.827,54,244,298,392,91,25,174,164,1459,1412,2.25,0.52,22.774193548387096
44,1630166,45,Deni Avdija,1610612757,POR,72,2161,402,844,0.476,125,342,0.365,290,372,0.78,110,412,522,281,71,35,196,171,1219,1408,1.43,0.36,19.555555555555557
45,1630700,46,Dyson Daniels,1610612737,ATL,73,2472,440,891,0.494,80,229,0.349,80,134,0.597,120,305,425,313,222,51,145,172,1040,1401,2.16,1.53,19.19178082191781
46,1641705,47,Victor Wembanyama,1610612759,SAS,46,1527,408,857,0.476,142,403,0.352,158,189,0.836,82,424,506,168,52,176,149,105,1116,1389,1.13,0.35,30.195652173913043
47,1630224,48,Jalen Green,1610612745,HOU,79,2646,603,1413,0.427,232,654,0.355,271,334,0.811,44,327,371,274,70,27,197,126,1709,1381,1.39,0.35,17.481012658227847
48,1629029,49,Luka Dončić,1610612747,LAL,47,1668,425,963,0.441,162,455,0.356,289,365,0.792,39,351,390,365,84,20,169,120,1301,1377,2.16,0.5,29.29787234042553
49,1628401,50,Derrick White,1610612738,BOS,74,2497,411,933,0.441,258,672,0.384,135,161,0.839,62,268,330,345,70,76,125,137,1215,1363,2.76,0.56,18.41891891891892
50,1630567,51,Scottie Barnes,1610612761,TOR,62,2047,440,1000,0.44,71,270,0.263,223,290,0.769,101,370,471,362,92,61,177,111,1174,1356,2.04,0.52,21.870967741935484
51,1629632,52,Coby White,1610612741,CHI,71,2368,496,1090,0.455,215,575,0.374,266,296,0.899,24,231,255,318,68,13,168,148,1473,1335,1.89,0.41,18.802816901408452
52,203944,53,Julius Randle,1610612750,MIN,65,2093,426,887,0.48,97,292,0.332,268,333,0.805,138,318,456,304,43,15,182,165,1217,1327,1.67,0.24,20.415384615384614
53,1628969,53,Mikal Bridges,1610612752,NYK,78,2929,573,1145,0.5,160,450,0.356,90,111,0.811,67,184,251,287,72,41,127,117,1396,1327,2.26,0.57,17.012820512820515
54,1628384,55,OG Anunoby,1610612752,NYK,72,2630,478,996,0.48,169,446,0.379,179,218,0.821,94,252,346,159,106,63,97,169,1304,1324,1.64,1.09,18.38888888888889
55,1630532,56,Franz Wagner,1610612753,ORL,58,1958,520,1124,0.463,100,341,0.293,264,304,0.868,54,274,328,276,71,20,135,145,1404,1320,2.04,0.53,22.75862068965517
56,1631117,57,Walker Kessler,1610612762,UTA,58,1740,278,419,0.663,6,34,0.176,79,152,0.52,266,441,707,97,36,138,86,130,641,1319,1.13,0.42,22.74137931034483
57,1628970,58,Miles Bridges,1610612766,CHA,63,1999,465,1076,0.432,139,444,0.313,217,250,0.868,72,403,475,245,44,44,133,91,1286,1317,1.84,0.33,20.904761904761905
58,1627759,59,Jaylen Brown,1610612738,BOS,62,2136,516,1110,0.465,116,356,0.326,244,320,0.763,82,281,363,285,73,19,159,151,1392,1303,1.79,0.46,21.016129032258064
59,1627751,60,Jakob Poeltl,1610612761,TOR,57,1686,363,579,0.627,1,3,0.333,97,144,0.674,189,358,547,158,66,71,111,176,824,1292,1.42,0.59,22.666666666666668
60,201572,61,Brook Lopez,1610612749,MIL,77,2470,384,749,0.513,135,361,0.374,110,134,0.821,112,279,391,140,50,144,80,168,1013,1269,1.75,0.63,16.48051948051948
61,1626167,62,Myles Turner,1610612754,IND,69,2095,379,785,0.483,153,381,0.402,173,223,0.776,84,368,452,108,54,134,118,178,1084,1258,0.92,0.46,18.231884057971016
62,202685,63,Jonas Valančiūnas,1610612758,SAC,78,1483,331,607,0.545,8,36,0.222,140,160,0.875,187,425,612,159,37,46,116,175,810,1252,1.37,0.32,16.05128205128205
63,101108,64,Chris Paul,1610612759,SAS,78,2190,236,551,0.428,134,354,0.379,81,87,0.931,31,251,282,591,98,20,121,143,687,1236,4.88,0.81,15.846153846153847
64,1629675,65,Naz Reid,1610612750,MIN,76,2099,407,882,0.461,170,444,0.383,105,137,0.766,83,374,457,173,57,71,105,181,1089,1235,1.65,0.54,16.25
65,1630183,66,Jaden McDaniels,1610612750,MIN,78,2502,379,796,0.476,98,292,0.336,102,124,0.823,125,330,455,157,106,70,86,217,958,1221,1.83,1.23,15.653846153846153
66,1628392,67,Isaiah Hartenstein,1610612760,OKC,56,1561,275,473,0.581,0,19,0.0,79,117,0.675,157,439,596,215,46,60,95,168,629,1215,2.26,0.48,21.696428571428573
67,1630178,68,Tyrese Maxey,1610612755,PHI,52,1960,477,1091,0.437,161,478,0.337,254,289,0.879,15,159,174,317,91,21,124,116,1369,1199,2.56,0.73,23.057692307692307
68,1630202,69,Payton Pritchard,1610612738,BOS,76,2146,376,807,0.466,246,599,0.411,67,80,0.838,98,190,288,256,66,14,73,115,1065,1172,3.51,0.9,15.421052631578947
69,202681,70,Kyrie Irving,1610612742,DAL,50,1804,447,945,0.473,144,359,0.401,196,214,0.916,60,180,240,231,66,23,111,101,1234,1167,2.08,0.59,23.34
70,1629673,71,Jordan Poole,1610612764,WAS,67,1982,450,1043,0.431,232,615,0.377,240,272,0.882,30,172,202,300,86,27,202,197,1372,1160,1.49,0.43,17.313432835820894
71,1629628,72,RJ Barrett,1610612761,TOR,57,1854,456,971,0.47,104,299,0.348,196,311,0.63,61,304,365,313,45,17,165,137,1212,1157,1.9,0.27,20.29824561403509
72,202699,73,Tobias Harris,1610612765,DET,70,2238,371,783,0.474,85,254,0.335,137,158,0.867,64,359,423,156,70,55,79,129,964,1156,1.98,0.89,16.514285714285716
73,201566,74,Russell Westbrook,1610612743,DEN,72,2026,362,802,0.451,93,281,0.331,141,219,0.644,100,263,363,443,103,37,236,185,958,1150,1.88,0.44,15.972222222222221
74,1631099,75,Keegan Murray,1610612758,SAC,74,2556,358,803,0.446,153,440,0.348,58,70,0.829,143,349,492,106,59,69,59,185,927,1137,1.8,1.0,15.364864864864865
75,1629014,76,Anfernee Simons,1610612757,POR,70,2292,479,1125,0.426,215,593,0.363,175,194,0.902,25,164,189,337,60,5,143,117,1348,1131,2.36,0.42,16.15714285714286
